well,OD,MD,TVD
STWC-19,7.0,2606.28,1734.48
STWC-08,7.0,2622.77,1850.77
STWC-08,2.875,3995.19,2769.01
STWC-01,7.0,2578.04,2060.95
STWC-01,2.875,3531.69,2732.76
STWC-13,7.0,2590.46,1847.16
STWC-13,2.875,3979.43,2763.81
STWC-07,9.625,301.43,298.43
STWC-20,9.625,303.35,301.46
STWC-20,7.0,2662.85,1701.57
STWC-16,9.625,301.1,297.54
STWC-16,9.625,301.97,298.41
STWC-16,7.0,2784.59,1710.34
STWC-09,9.625,302.51,298.9
STWC-06,9.625,302.87,300.56
STWC-06,9.625,303.74,301.43
STWC-06,7.0,2148.87,1774.14
STWC-21,9.625,302.61,299.02
STWC-21,7.0,2930.23,1690.92
STWC-04,9.625,301.28,299.53
STWC-04,7.0,2019.14,1813.27
STWC-19_ST,7.0,2295.0,1537.74
STWC-19_ST,7.0,2606.28,1734.48
